,MAE_ATT,mse_ATT,r2_ATT,rmse_ATT
0,0.023063959264151022,0.0020696107650457992,0.9722371142570839,0.04549297489773338
1,0.02333190039516361,0.0020602507499624303,0.9697434838075515,0.045389985128466724
2,0.022823817181879782,0.00198864182754829,0.9729098732616405,0.04459419051343224
3,0.023962725793100166,0.002054164802584022,0.9709606045672857,0.04532289490515828
4,0.022771512979176473,0.0019540821085351004,0.9726553895349438,0.0442050009448603
5,0.02304747589627474,0.002001680759590848,0.9730050191724171,0.04474014706715712
6,0.02516571279609415,0.0022576900137028437,0.9688869284300893,0.0475151556211578
7,0.023310523713922143,0.0020820060274477094,0.9717328800417756,0.045629004234671935
8,0.02332004352541247,0.0021028111409482444,0.971117264575292,0.045856418754065875
9,0.023177497725696064,0.0020669163434324,0.9724207196320052,0.04546335165198888
