,MAE_GRU,mse_GRU,r2_GRU,rmse_GRU
0,0.06144585309714175,0.00844480456393994,0.8370904116099279,0.09189561776243707
1,0.061532921561989244,0.008938048285008311,0.8470456042745821,0.09454125176349376
2,0.059087864663609296,0.007379307396000355,0.8356473579331952,0.08590289515493849
3,0.05929009620202257,0.007812432994332887,0.8525817164223232,0.08838796860621295
4,0.05814025092245985,0.008154605998507019,0.8524819782914118,0.09030285708939124
5,0.05997033844303967,0.0082348599071089,0.8422153010447965,0.0907461288822223
6,0.057366575206454294,0.007488150490475833,0.861073596782524,0.08653410015985509
7,0.05497251742785918,0.006903945909750721,0.8594191054119,0.08308998682001774
8,0.058643949951427354,0.008547583433527567,0.8546488280575378,0.09245314182615735
9,0.06578807379630724,0.008461552058884207,0.7821776742286998,0.09198669501011658
