,MAE,mse,r2,rmse,ANN,,,,
0,0.046156814,0.004522552,0.895803346,0.067249921,LSTM,,,,
1,0.045674061,0.004337758,0.90305708,0.06586166,LSTM,,,,
2,0.051379399,0.005410924,0.876301625,0.073558981,LSTM,,,,
3,0.063118453,0.00717113,0.822400493,0.084682522,LSTM,,,,
4,0.052843554,0.005367338,0.861041619,0.073262119,LSTM,,,,
5,0.052052421,0.00492116,0.875484004,0.070150982,LSTM,,,,
6,0.043908818,0.004108101,0.909108815,0.064094468,LSTM,,,,
7,0.06389086,0.007729109,0.853364293,0.087915353,LSTM,,,,
8,0.060369739,0.006967846,0.871043806,0.083473622,LSTM,,,,
9,0.060645026,0.00710961,0.858265348,0.084318502,LSTM,,,,
10,0.061445853,0.008444805,0.837090412,0.091895618,GRU,,,,
11,0.061532922,0.008938048,0.847045604,0.094541252,GRU,,,,
12,0.059087865,0.007379307,0.835647358,0.085902895,GRU,,,,
13,0.059290096,0.007812433,0.852581716,0.088387969,GRU,,,,
14,0.058140251,0.008154606,0.852481978,0.090302857,GRU,,,,
15,0.059970338,0.00823486,0.842215301,0.090746129,GRU,,,,
16,0.057366575,0.00748815,0.861073597,0.0865341,GRU,,,,
17,0.054972517,0.006903946,0.859419105,0.083089987,GRU,,,,
18,0.05864395,0.008547583,0.854648828,0.092453142,GRU,,,,
19,0.065788074,0.008461552,0.782177674,0.091986695,GRU,,,,
20,0.048636778,0.004589325,0.903270282,0.067744558,DNN,,,,
21,0.078247644,0.010708473,0.601291587,0.103481751,DNN,,,,
22,0.186341121,0.054741344,-0.036790273,0.233968683,DNN,,,,
23,0.041562851,0.003092684,0.892387856,0.055611905,DNN,,,,
24,0.055544134,0.00658794,0.840834194,0.081166124,DNN,,,,
25,0.066079735,0.00782259,0.56777943,0.088445407,DNN,,,,
26,0.059057981,0.006397242,0.806772928,0.079982762,DNN,,,,
27,0.059455764,0.006276087,0.816604051,0.079221758,DNN,,,,
28,0.064488282,0.007331703,0.786243752,0.085625362,DNN,,,,
29,0.063210876,0.006402802,0.821317863,0.08001751,DNN,,,,
30,0.055639063,0.005599461,0.749852995,0.074829543,CNN,,0.749852995,0.972237114,0.895803346
31,0.075920295,0.011211759,0.888428331,0.105885593,CNN,,0.888428331,0.969743484,0.90305708
32,0.051291085,0.004385909,0.81294671,0.066226194,CNN,,0.81294671,0.972909873,0.876301625
33,0.053165431,0.004831257,0.81705679,0.069507241,CNN,,0.81705679,0.970960605,0.822400493
34,0.033063479,0.002256238,0.937715132,0.047499869,CNN,,0.937715132,0.97265539,0.861041619
35,0.044327699,0.003706777,0.897201851,0.060883306,CNN,,0.897201851,0.973005019,0.875484004
36,0.053832727,0.004853761,0.828420668,0.069668936,CNN,,0.828420668,0.968886928,0.909108815
37,0.058562835,0.004706777,0.884354933,0.234126433,CNN,,0.884354933,0.97173288,0.853364293
38,0.057440954,0.005443797,0.748620401,0.073782089,CNN,,0.748620401,0.971117265,0.871043806
39,0.053314233,0.00461812,0.745942001,0.067956749,CNN,,0.745942001,0.97242072,0.858265348
40,0.023063959,0.002069611,0.972237114,0.045492975,ATT,,0.831053981,0.971566928,0.872587043
41,0.0233319,0.002060251,0.969743484,0.045389985,ATT,,,,
42,0.022823817,0.001988642,0.972909873,0.044594191,ATT,,,,
43,0.023962726,0.002054165,0.970960605,0.045322895,ATT,,,,
44,0.022771513,0.001954082,0.97265539,0.044205001,ATT,,,,
45,0.023047476,0.002001681,0.973005019,0.044740147,ATT,,,,
46,0.025165713,0.00225769,0.968886928,0.047515156,ATT,,,,
47,0.023310524,0.002082006,0.97173288,0.045629004,ATT,,,,
48,0.023320044,0.002102811,0.971117265,0.045856419,ATT,,,,
49,0.023177498,0.002066916,0.97242072,0.045463352,ATT,,,,
50,0.115742,0.029328618,0.750568,0.171256,SEQ,,,,
51,0.077217692,0.013473401,0.750297702,0.116074982,SEQ,,,,
52,0.065069439,0.008372586,0.782121427,0.091501835,SEQ,,,,
53,0.07027071,0.008425118,0.621790222,0.091788442,SEQ,,,,
54,0.05773395,0.006043003,0.822681563,0.077736754,SEQ,,,,
55,0.087706551,0.01517579,0.572555428,0.123190055,SEQ,,,,
56,0.082743489,0.010969305,0.600291,0.104734449,SEQ,,,,
57,0.093327468,0.014758822,0.510527786,0.121485892,SEQ,,,,
58,0.077076183,0.013191685,0.710518779,0.114855062,SEQ,,,,
59,0.076735015,0.011066184,0.660694357,0.10519593,SEQ,,,,
,,,0.678204626,0.11178194,,,,,
